Experiment: 230728_LRDYAceGRDarwin_expt vial 5, Fri Jul 28 15:42:16 2023
0,0
8.2019,3.95
8.2573,4.33
8.8183,4.0
9.5683,4.33
10.2628,4.13
10.9796,4.0
11.624,3.94
12.3351,4.02
12.9963,4.3
13.613,4.02
14.285,4.13
14.9128,4.11
15.5574,3.96
16.1516,3.96
16.8238,3.96
17.3905,4.02
18.1798,3.99
18.7298,4.03
19.3464,3.97
20.0187,4.23
20.641,3.93
21.2908,3.98
21.7575,4.08
22.4519,4.22
23.0686,4.06
23.5798,4.18
24.2464,4.1
24.8631,4.05
25.4574,4.41
26.0742,4.0
26.6019,3.95
27.2241,4.04
27.7852,4.1
28.3741,4.05
28.9963,3.94
29.6075,4.02
30.163,4.01
30.7019,3.99
31.2464,4.06
31.8853,4.2
32.502,4.15
33.0853,4.07
33.6408,3.97
34.2851,4.07
34.8019,3.94
35.4574,4.09
36.0519,4.16
36.6185,4.02
37.1741,3.95
37.8018,4.0
38.3297,4.0
38.9353,4.01
39.5296,4.05
40.174,3.96
40.7463,4.17
41.374,4.08
42.0352,4.08
42.674,4.38
43.2518,4.02
43.8461,4.1
44.4407,4.26
45.0517,4.15
45.6795,4.04
46.3018,4.03
46.7851,3.95
47.4295,4.19
48.0517,4.1
48.635,4.1
49.2184,3.99
49.8572,3.99
50.4073,3.94
50.885,4.11
51.5183,4.06
52.1072,4.01
52.7349,4.12
53.313,4.12
53.8961,4.09
54.5182,4.06
55.1462,3.93
55.735,4.38
56.3849,4.14
56.9793,4.03
57.5516,3.94
58.1462,4.19
58.7573,4.0
59.3573,4.05
59.9626,3.95
60.5905,4.52
61.285,3.94
61.7794,3.97
62.3793,4.01
62.9793,3.98
63.5127,3.96
64.2181,4.06
64.7683,4.06
65.4349,3.93
66.0071,4.07
66.6461,4.28
67.2294,4.16
67.8515,3.95
68.4239,3.96
69.0961,3.93
69.6459,3.93
