Experiment: 230728_LRDYAceGRDarwin_expt vial 4, Fri Jul 28 15:42:16 2023
0,0
7.0851,4.32
7.1352,4.1
7.7851,4.23
8.5907,4.38
9.1962,4.22
9.8239,4.24
10.4741,4.43
11.0961,4.35
11.6573,4.32
12.2851,4.42
12.9016,4.23
13.3907,4.42
14.0128,4.21
14.4961,4.22
15.0628,4.21
15.5962,4.29
16.1295,4.27
16.6239,4.25
17.2294,4.5
17.6906,4.24
18.0466,4.51
18.6241,4.39
19.152,4.34
19.7077,4.29
20.2298,4.37
20.7853,4.31
21.302,4.61
21.8131,4.26
22.3409,4.22
22.8799,4.24
23.4186,4.35
23.9297,4.28
24.4519,4.21
24.9909,4.26
25.4686,4.23
25.963,4.27
26.502,4.26
27.002,4.36
27.5408,4.53
28.0574,4.63
28.5963,4.35
29.1407,4.55
29.6964,4.49
30.1742,4.37
30.7131,4.38
31.2298,4.3
31.7408,4.6
32.2685,4.28
32.813,4.24
33.2964,4.42
33.8685,4.21
34.4131,4.22
34.8797,4.33
35.363,4.48
35.9573,4.46
36.4462,4.21
36.9518,4.31
37.4851,4.31
37.9908,4.28
38.5297,4.33
39.0296,4.24
39.535,4.29
40.0685,4.94
40.6296,4.24
41.1073,4.26
41.6463,4.24
42.1406,4.25
42.6964,4.24
43.2128,4.38
43.7408,4.43
44.224,4.26
44.8129,4.23
45.2739,4.21
45.8461,4.3
46.3351,4.28
46.8351,4.24
47.4184,4.25
47.9129,4.3
48.4572,4.34
48.9073,4.35
49.485,4.44
50.0961,4.4
50.5962,4.47
51.1573,4.21
51.6516,4.26
52.2463,4.66
52.7628,4.33
53.2907,4.23
53.8017,4.43
54.3295,4.47
54.924,4.31
55.4349,4.26
55.9629,4.27
56.4738,4.55
57.0795,4.39
57.6017,4.6
58.1184,4.34
58.7238,4.33
59.2016,4.34
59.696,4.25
60.2627,4.35
60.7793,4.53
61.3685,4.39
61.8183,4.28
62.3517,4.27
62.8739,4.5
63.396,4.3
63.8959,4.26
64.4181,4.33
64.9849,4.47
65.4573,4.31
66.0182,4.3
66.5184,4.33
67.0516,4.28
67.5849,4.37
68.1126,4.63
68.696,4.3
69.2627,4.52
69.7625,4.41
